iter	Passed	Remaining
0	9	9399
1	21	10749
2	34	11609
3	46	11539
4	55	10994
5	62	10315
6	71	10116
7	80	9957
8	89	9852
9	97	9667
10	106	9615
11	116	9579
12	124	9431
13	132	9351
14	142	9360
15	151	9307
16	160	9254
17	169	9256
18	179	9273
19	186	9133
20	194	9078
21	203	9060
22	214	9095
23	223	9108
24	232	9075
25	242	9098
26	250	9040
27	259	8996
28	267	8960
29	276	8937
30	286	8952
31	296	8966
32	304	8915
33	311	8864
34	321	8852
35	328	8808
36	339	8837
37	347	8791
38	356	8777
39	366	8795
40	373	8746
41	382	8719
42	388	8652
43	398	8656
44	405	8614
45	415	8608
46	423	8594
47	432	8586
48	443	8609
49	452	8604
50	460	8570
51	470	8580
52	478	8555
53	485	8502
54	494	8500
55	503	8490
56	512	8479
57	520	8455
58	529	8447
59	537	8424
60	546	8419
61	555	8402
62	564	8401
63	574	8400
64	582	8383
65	593	8401
66	602	8390
67	611	8380
68	621	8379
69	627	8337
70	636	8328
71	645	8325
72	656	8332
73	665	8326
74	673	8307
75	681	8288
76	690	8276
77	699	8270
78	708	8261
79	716	8239
80	724	8214
81	733	8210
82	741	8195
83	764	8339
84	773	8323
85	782	8317
86	789	8282
87	795	8248
88	803	8226
89	809	8187
90	818	8178
91	826	8161
92	835	8150
93	844	8136
94	851	8112
95	862	8123
96	870	8108
97	880	8104
98	890	8102
99	898	8086
100	906	8071
101	915	8055
102	926	8072
103	935	8057
104	945	8058
105	954	8053
106	971	8105
107	980	8101
108	995	8140
109	1009	8165
110	1018	8157
111	1035	8208
112	1045	8207
113	1056	8207
114	1067	8214
115	1077	8209
116	1091	8240
117	1099	8221
118	1108	8208
119	1123	8241
120	1137	8262
121	1148	8264
122	1161	8281
123	1173	8289
124	1181	8273
125	1190	8258
126	1204	8279
127	1210	8247
128	1220	8243
129	1229	8231
130	1240	8230
131	1250	8223
132	1256	8192
133	1264	8174
134	1275	8169
135	1285	8168
136	1293	8145
137	1301	8128
138	1310	8118
139	1321	8116
140	1331	8110
141	1343	8115
142	1356	8130
143	1366	8124
144	1375	8111
145	1386	8107
146	1397	8107
147	1404	8086
148	1413	8075
149	1422	8060
150	1431	8050
151	1440	8033
152	1448	8019
153	1458	8009
154	1467	7999
155	1477	7994
156	1483	7966
157	1492	7954
158	1501	7942
159	1507	7915
160	1515	7896
161	1521	7872
162	1529	7854
163	1539	7846
164	1547	7831
165	1557	7824
166	1564	7801
167	1572	7789
168	1580	7773
169	1588	7756
170	1596	7739
171	1605	7730
172	1613	7712
173	1623	7704
174	1631	7689
175	1638	7672
176	1648	7664
177	1658	7659
178	1668	7652
179	1674	7630
180	1681	7609
181	1691	7600
182	1699	7587
183	1709	7579
184	1716	7561
185	1724	7548
186	1733	7537
187	1741	7522
188	1750	7510
189	1757	7494
190	1765	7477
191	1772	7458
192	1781	7450
193	1789	7434
194	1798	7424
195	1806	7409
196	1813	7392
197	1822	7380
198	1831	7373
199	1838	7354
200	1847	7342
201	1854	7324
202	1863	7314
203	1868	7290
204	1875	7272
205	1884	7264
206	1894	7256
207	1904	7253
208	1913	7242
209	1924	7237
210	1929	7214
211	1936	7198
212	1944	7184
213	1964	7213
214	1977	7221
215	1992	7231
216	2005	7236
217	2012	7219
218	2029	7238
219	2041	7239
220	2049	7223
221	2059	7217
222	2070	7213
223	2083	7217
224	2094	7214
225	2103	7205
226	2112	7193
227	2123	7189
228	2132	7178
229	2138	7160
230	2150	7158
231	2159	7149
232	2167	7136
233	2175	7120
234	2185	7115
235	2195	7108
236	2204	7096
237	2212	7085
238	2222	7076
239	2232	7070
240	2242	7062
241	2252	7054
242	2259	7040
243	2266	7022
244	2274	7010
245	2282	6996
246	2288	6976
247	2298	6968
248	2306	6956
249	2315	6947
250	2323	6933
251	2331	6920
252	2341	6912
253	2350	6903
254	2358	6891
255	2364	6870
256	2373	6861
257	2382	6852
258	2391	6842
259	2401	6833
260	2409	6822
261	2418	6813
262	2427	6802
263	2436	6793
264	2445	6784
265	2453	6769
266	2461	6756
267	2469	6746
268	2476	6729
269	2485	6720
270	2493	6706
